num,position
247,-5.056937787997735
248,-4.303953329791856
249,5.048844922629181
250,4.737883952187232
251,4.0306990450864095
252,4.077774069500277
253,-4.568237044792061
254,3.734064688903471
255,5.23260140369262
256,4.348788964525173
257,3.8949980388178407
258,4.025744328584011
259,4.637689092935037
260,4.258305356687426
261,4.878346656769883
262,4.769496530911621
263,4.967373146897039
264,5.399418294869363
265,5.220780684335542
266,5.079165592105394
267,5.248300904802015
268,4.701911052774179
269,5.043750866664379
270,4.589141244290328
271,5.295208057055255
272,5.007135009989206
273,5.1034756037069755
274,4.314733810095387
275,5.837577888980256
276,5.6554006301163895
277,4.8411469518494705
278,5.1318448376266605
279,4.750214468677356
280,5.004414195052561
281,4.717514825233566
282,4.929996386578701
283,4.794813165536363
284,4.461381759112399
285,5.376312062319302
286,6.33528322491879
287,5.0686706834752435
288,5.312301930909939
289,5.430746468973769
290,4.766204505459843
291,4.2041462208643114
292,4.900796815324892
293,4.161648285678382
294,5.043577563171551
295,4.96145698807233
296,4.288454023896913
297,5.321654695878504
298,4.834400388688923
299,4.793153119879047
300,4.641709760504625
301,4.309453350370681
302,5.500216576050965
303,5.387754886984002
304,5.324712207437763
305,5.068358521793687
306,5.391011754718756
307,4.6353379724117545
308,4.565938623229695
309,4.9259085261935365
310,5.435010614541234
311,3.918202799448313
312,5.195546098316662
313,4.6172676222076205
314,4.683073731630138
315,4.953235410480893
316,5.393290858871133
317,3.582448300335008
318,4.328955384263416
319,4.6306410919870515
320,5.674395674213104
321,4.823206518500802
322,5.100863420871967
323,4.821233010709349
324,5.13046107867163
325,4.797605342870426
326,4.611782305991506
327,4.681471795253177
328,4.90252088166995
329,5.212160608883627
330,5.155912950880419
331,4.7185104999078575
332,4.318987486912423
333,5.651733038358493
334,3.8544461418865676
335,3.8588634719317696
336,-5.0748042448393775
337,-5.386824866661968
338,-4.193996163566083
339,-4.07588664768034
340,-5.733506411088531
341,-4.529350903099978
342,-4.752185151710881
343,-5.3371461442611645
344,-4.551711403075636
345,-5.414743478201167
346,-5.097702941673193
347,-4.4049629360090385
348,-4.498498240517326
349,-4.547157173641825
350,-4.695522842310414
351,-4.572096805889658
352,-3.5206774831014425
353,-3.891311662203913
354,-4.4071214878653775
355,-4.680885232839385
356,-5.833839026343344
357,-4.044051659894077
358,-3.9345815446164956
359,-5.257758784239083
360,-4.8475138519447425
361,-4.485299396792845
362,-4.762952636497236
363,-5.490808209657267
364,-4.439578620565516
365,-5.05378098525072
366,-4.869379469450483
367,-5.450283630960994
368,-5.515439558257538
369,-5.55302138530039
370,-5.197939563828651
371,-5.377019841923676
372,-5.715202163854274
373,-5.027248772484696
374,-5.510117890037172
375,-5.315533644219148
376,-4.504466466294128
377,-5.165913636422723
378,-3.8005134470592017
379,-5.106390732439143
380,-5.275910882156067
381,-4.3452653110139146
382,-6.258161254897161
383,-4.727750192918771
384,-4.494154319538694
385,-4.92824534503759
386,-4.871123768848413
387,-5.324513346745885
388,-5.0481390291256645
389,-4.583145414270778
390,-4.352598536086076
391,-5.875493005738366
392,-5.223888551640432
393,-4.991999880164572
394,-5.028440124841906
395,-4.747683659123057
396,-4.703895478395461
397,-5.294659929396113
398,-5.569503764148161
399,-4.573583160531463
400,-5.70961409487142
401,-4.120509303338156
402,-4.686264959864888
403,-5.819436384106673
404,-4.30848753142932
405,-4.454117583052513
406,-4.516775203317698
407,-5.595285560909113
408,-4.91697420694281
409,-5.529392290810316
410,-4.7069970188460335
411,-5.30612171575398
412,-4.593399863879098
413,-5.576175912131887
414,-4.8303937087082645
415,-3.918974056910674
416,-6.044610205010996
417,-5.742545270337843
418,-4.118759596187759
419,-5.903819487568265
420,-3.981779870639932
421,-4.669712777138535
422,-4.772667875525625
423,-3.5924458292371657
424,4.4132233014481095
425,6.127511345113909
426,3.6781899094486814
427,-4.748931908273482
428,-3.5832243894279214
429,-4.426007615160589
430,-5.507005401225942
431,-4.910056996598011
432,-4.253210729155381
433,-5.150456866088701
434,-3.0364806298180174
435,5.415785639991089
436,4.663353488711985
437,4.761412421663536
438,4.559534083242456
439,5.370043708766898
440,5.0421892489545055
441,4.147840952606137
442,5.317321535953052
443,4.302430425074347
444,3.3884707957183995
445,-4.721483126933908
446,-4.699337789676051
447,-4.941295472992717
448,-5.003358022815494
449,-3.7655624106798964
450,-3.9195746159277416
451,-5.735435242521492
452,-5.829441103851824
453,-5.239961875135242
454,-5.529051243896907
455,-5.289598839840377
456,-4.913270983841221
457,-4.514139905115426
458,-4.091862940677309
459,-4.283158939450413
460,-4.961385735809403
461,-4.953147375622578
462,-4.524363754466907
463,-4.158427197457318
464,-4.345669630030393
465,-5.680209591293859
466,-5.519116417898413
467,-5.3026303495770755
468,-4.143054827956101
469,-5.629999301635529
470,-4.902453145934449
471,-4.744492865283069
472,-4.447836672460415
473,-5.255035197207929
474,-5.169053813369684
475,-5.057463581793873
476,-5.157508486665998
477,-5.127432072259941
478,-5.0136600213406535
479,-4.789132249901398
480,-4.910698441450374
481,-4.973857392062715
482,-5.371423288556181
483,-4.67189539565473
484,-5.450747064564756
485,-5.00059685567674
486,-4.025662955624593
487,-4.722434835713352
488,-5.232876405424999
489,-4.835052373356252
490,-4.898390389063609
491,-4.036136725416794
492,-4.744769904093767
493,-4.725123606434605
494,-4.086704497055516
495,-4.623896254505244
496,-4.928468770057952
497,-5.4699975180751315
498,-4.544168748592847
499,-4.253046676260075
500,-4.000528980424294
501,-4.800165058744394
502,-5.078351844092621
